,Date,Price,Open,High,Low,Vol.,Change %,Currency
857,06/03/2020,481.38,482.45,484.7,481.69,0.04K,-0.01%,USD
858,06/02/2020,481.45,483.01,484.4,481.73,0.04K,-0.11%,USD
859,06/01/2020,482.0,483.9,484.65,482.5,0.03K,-0.19%,USD
860,05/29/2020,482.9,483.5,483.95,482.95,0.01K,0.00%,USD
861,05/28/2020,482.9,483.91,483.95,482.5,0.02K,0.00%,USD
862,05/27/2020,482.91,483.8,485.11,483.1,0.02K,0.02%,USD
863,05/26/2020,482.8,481.99,484.81,481.95,0.03K,0.38%,USD
864,05/25/2020,480.99,481.98,483.6,481.89,0.03K,0.00%,USD
865,05/22/2020,480.98,481.65,483.5,481.3,0.02K,0.07%,USD
866,05/21/2020,480.65,483.6,483.8,480.92,0.02K,-0.40%,USD
867,05/20/2020,482.6,484.65,485.18,483.0,0.03K,-0.22%,USD
868,05/19/2020,483.65,485.88,486.34,483.98,0.07K,-0.25%,USD
869,05/18/2020,484.88,487.88,488.14,485.44,0.02K,-0.41%,USD
870,05/15/2020,486.88,488.88,489.19,486.94,0.03K,-0.20%,USD
871,05/14/2020,487.88,487.66,488.9,487.33,0.02K,0.25%,USD
872,05/13/2020,486.66,487.12,488.83,486.0,0.03K,0.34%,USD
873,05/12/2020,485.0,486.0,488.42,486.0,0.04K,0.00%,USD
874,05/11/2020,485.0,484.1,487.01,484.02,0.03K,0.39%,USD
875,05/08/2020,483.1,483.12,485.3,483.1,0.03K,0.20%,USD
876,05/07/2020,482.12,481.95,484.07,481.48,0.03K,0.44%,USD
877,05/06/2020,480.0,480.65,481.98,480.65,0.02K,0.07%,USD
878,05/05/2020,479.65,480.0,481.89,479.5,0.04K,0.14%,USD
879,05/04/2020,479.0,479.25,482.3,479.22,0.03K,0.16%,USD
880,05/01/2020,478.25,479.25,480.0,479.1,0.01K,0.00%,USD
881,04/30/2020,478.25,479.51,480.5,478.63,0.02K,0.26%,USD
882,04/29/2020,477.0,479.62,480.31,478.76,0.02K,-0.21%,USD
883,04/28/2020,478.0,479.55,481.7,479.25,0.04K,-0.11%,USD
884,04/27/2020,478.55,479.67,481.45,478.77,0.03K,-0.03%,USD
885,04/24/2020,478.67,479.65,480.0,478.8,0.01K,0.00%,USD
886,04/23/2020,478.65,479.8,481.15,479.33,0.02K,-0.03%,USD
887,04/22/2020,478.8,480.85,481.42,478.9,0.04K,-0.22%,USD
888,04/21/2020,479.85,482.4,482.6,479.9,0.02K,-0.24%,USD
889,04/20/2020,481.0,483.95,483.98,481.0,0.03K,-0.40%,USD
890,04/17/2020,482.95,484.55,484.98,482.98,0.02K,-0.12%,USD
891,04/16/2020,483.55,486.1,486.55,484.27,0.03K,-0.32%,USD
892,04/15/2020,485.1,485.5,486.56,484.6,0.02K,0.12%,USD
893,04/14/2020,484.5,486.5,486.75,484.75,0.02K,-0.21%,USD
894,04/13/2020,485.5,491.18,491.18,484.3,0.01K,-0.95%,USD
895,04/10/2020,490.18,493.05,493.05,491.0,0.01K,-0.38%,USD
896,04/09/2020,492.05,496.5,496.5,491.3,0.01K,-1.19%,USD
897,04/08/2020,498.0,499.35,500.17,499.15,0.01K,-0.07%,USD
898,04/07/2020,498.35,501.25,501.75,497.9,1.87K,-0.23%,USD
899,04/06/2020,499.5,501.25,502.27,499.7,2.42K,0.00%,USD
900,04/03/2020,499.5,501.75,502.25,499.85,5.75K,-0.20%,USD
901,04/02/2020,500.5,501.75,502.7,500.75,2.17K,0.00%,USD
902,04/01/2020,500.5,501.75,502.95,501.5,2.80K,0.00%,USD
903,03/31/2020,500.5,497.25,502.8,497.25,4.25K,0.81%,USD
904,03/30/2020,496.5,496.25,498.3,496.25,3.45K,0.40%,USD
905,03/27/2020,494.5,494.5,497.22,494.5,0.68K,0.10%,USD
906,03/26/2020,494.0,494.0,497.3,494.0,0.71K,0.20%,USD
907,03/25/2020,493.0,493.75,495.93,493.5,1.72K,0.10%,USD
908,03/24/2020,492.5,493.75,495.71,493.75,2.81K,0.00%,USD
909,03/23/2020,492.5,493.55,495.01,493.2,3.06K,0.00%,USD
910,03/20/2020,492.5,491.25,494.1,491.25,3.29K,0.41%,USD
911,03/19/2020,490.5,490.25,492.8,490.0,1.03K,0.41%,USD
912,03/18/2020,488.5,489.75,491.38,488.65,1.59K,0.21%,USD
